Title_name,Title_list1_Image,Title_list1_cal,Title_list1_carbs,Title_list1_Fats,Title_list1_Prot,Title_list1_Sugar
"Cereals ready-to-eat, Ralston Corn Flakes",https://images.eatthismuch.com/missing_thumbnail1.png,100,24.6 g,0.3 g,1.7 g,0.8 g
"Cereals ready-to-eat, Quaker, Oatmeal Squares, cinnamon",https://images.eatthismuch.com/missing_thumbnail1.png,212,43.7 g,2.7 g,6.3 g,4.9 g
"Cereals, whole wheat hot natural cereal, cooked with water, without salt",https://images.eatthismuch.com/missing_thumbnail1.png,150,33.2 g,1.0 g,4.8 g,3.9 g
"Chicken, broiler, rotisserie, Bbq, skin",https://images.eatthismuch.com/missing_thumbnail1.png,321,0.6 g,29.9 g,12.9 g,0 g
"Chicken, broiler, rotisserie, Bbq, drumstick meat and skin",https://images.eatthismuch.com/missing_thumbnail1.png,146,0.1 g,8.1 g,18.2 g,0 g
"Chicken, broilers or fryers, back, meat and skin, cooked, rotisserie, original seasoning",https://images.eatthismuch.com/missing_thumbnail1.png,265,0.0 g,19.0 g,23.7 g,0 g
"Hotcakes (with 2 pats margarine & syrup)
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,601,101.8 g,17.8 g,9.0 g,2.0 g
"Rice cakes
Snacks, brown rice, corn",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,69,14.6 g,0.6 g,1.5 g,0.5 g
"Oyster
Mollusks, eastern, farmed, raw",https://images.eatthismuch.com/images/food_icons_v3/fish.png,50,4.7 g,1.3 g,4.4 g,0 g
"Beef brisket
Point half, separable lean and fat, trimmed to 0"" fat, all grades, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,304,0 g,24.2 g,20.0 g,0 g
Rusk toast crackers,https://images.eatthismuch.com/images/food_icons_v3/bread.png,58,10.3 g,1.0 g,1.9 g,0 g
"White corn
Sweet, canned, whole kernel, no salt added, solids and liquids",https://images.eatthismuch.com/images/food_icons_v3/corn.png,308,74.3 g,2.4 g,9.4 g,3.4 g
"Syrup, Nestle, chocolate",https://images.eatthismuch.com/missing_thumbnail1.png,54,13.4 g,0 g,0 g,0 g
"Cream of wheat
Cereals, instant, prepared with water, with salt, (wheat)",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,149,31.5 g,0.6 g,4.4 g,1.4 g
"Usda Commodity, mixed fruit (peaches, pears, grapes), canned, light syrup, solids and liquids",https://images.eatthismuch.com/missing_thumbnail1.png,55,14.3 g,0.1 g,0.4 g,1.2 g
"Raisin nut bran
Cereals ready-to-eat, general mills",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,180,39.7 g,2.6 g,3.4 g,4.9 g
"Turkey, retail parts, thigh, meat only, raw",https://images.eatthismuch.com/missing_thumbnail1.png,99,0 g,3.1 g,17.5 g,0 g
"Sponge cake
Commercially prepared",https://images.eatthismuch.com/images/food_icons_v3/bread.png,110,23.2 g,1.0 g,2.1 g,0.2 g
"Cookies, Marie biscuit",https://images.eatthismuch.com/thmb/477928_gettingsexy_0e45d7cb-8ce8-4cd8-ba0e-af2069c669e5.jpg,114,19.8 g,3.0 g,2.0 g,1.0 g
"Denny's, fish fillet, battered or breaded, fried",https://images.eatthismuch.com/missing_thumbnail1.png,470,35.0 g,24.4 g,27.6 g,2.0 g
"Tortilla chips
Snacks, plain, white corn",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,134,19.2 g,5.9 g,2.0 g,1.5 g
"Smart start healthy heart
Cereals ready-to-eat, kellogg, original",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,220,47.4 g,2.3 g,6 g,5.3 g
"Prego Pasta, Heart Smart- Roasted Red Pepper and Garlic Italian Sauce, ready-to-serve",https://images.eatthismuch.com/missing_thumbnail1.png,70,13 g,1.5 g,2 g,3 g
"Corn
Sweet, yellow, frozen, kernels cut off cob, boiled, drained, without salt",https://images.eatthismuch.com/thmb/1953_AndyG13_15696577-75fa-4973-8a93-0833a867e6c8.png,133,31.7 g,1.1 g,4.2 g,3.9 g
"Dinner rolls
Plain, prepared from recipe, made with low fat (2%) milk",https://images.eatthismuch.com/thmb/4288_ldementhon_86b585d8-7a16-42e7-9f63-5aba200e7f3e.png,111,18.7 g,2.6 g,3.0 g,0.7 g
"Pork leg (ham), whole
Fresh, separable lean and fat, raw",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,69,0 g,5.3 g,4.9 g,0 g
"Beef tenderloin
Steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,312,0 g,19.7 g,31.5 g,0 g
"M&m's with peanuts
Candies, mars snackfood us",https://images.eatthismuch.com/thmb/4514_Lynn16_af00da13-cbe5-4ba6-b32a-84c739d6e748.jpg,278,32.7 g,14.1 g,5.2 g,2.0 g
"Beef round
Top round, separable lean and fat, trimmed to 0"" fat, choice, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,483,0 g,13.1 g,85.5 g,0 g
"Pork loin, sirloin (chops or roasts)
Fresh, bone-in, separable lean only, raw",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,585,0 g,18.2 g,98.2 g,0 g
"Beef round
Outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,420,0 g,13.1 g,70.9 g,0 g
"Taco shells
Baked, without added salt",https://images.eatthismuch.com/images/food_icons_v3/bread.png,133,17.7 g,6.4 g,2.0 g,2.1 g
"taco with beef, cheese and lettuce, soft
Fast foods",https://images.eatthismuch.com/missing_thumbnail1.png,210,20.6 g,9.9 g,9.4 g,3.0 g
"T.G.I. Friday's, chicken fingers",https://images.eatthismuch.com/missing_thumbnail1.png,731,37.9 g,45.7 g,42.0 g,1.8 g
"Dried egg white
Dried, flakes, glucose reduced",https://images.eatthismuch.com/images/food_icons_v3/egg.png,100,1.2 g,0.0 g,21.8 g,0 g
"Roasted Vegetable, frozen, unprepared
Kashi Pizza",https://images.eatthismuch.com/missing_thumbnail1.png,260,28.4 g,9.7 g,14.5 g,4.3 g
"Restaurant, Italian, cheese ravioli with marinara sauce",https://images.eatthismuch.com/thmb/469727_CarolynKing_c9d3e53c-345b-463a-b26d-0a42a5756fa1.png,658,79.0 g,24.3 g,30.2 g,5.1 g
"Cranberry juice cocktail
Bottled",https://images.eatthismuch.com/images/food_icons_v3/drink.png,137,34.2 g,0.3 g,0 g,0 g
"Ground beef, patties
Frozen, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,251,0 g,18.6 g,19.6 g,0 g
"Pork shoulder
Petite tender, boneless, separable lean and fat, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,44,0 g,1.2 g,7.8 g,0 g
"Hormel vegetarian chili with beans
Canned entree",https://images.eatthismuch.com/images/food_icons_v3/bento.png,205,38.0 g,0.7 g,11.9 g,9.9 g
"Chicken, meat and skin
Broilers or fryers, cooked, stewed",https://images.eatthismuch.com/thmb/399_SilvanaElHaddad_ab4249ae-9812-4a19-b10a-07e582bacb92.jpg,62,0 g,3.6 g,7.0 g,0 g
"Gravy, beef
Canned, ready-to-serve",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,123,11.2 g,5.5 g,8.7 g,0.9 g
"Vegetable egg rolls
Refrigerated, heated",https://images.eatthismuch.com/images/food_icons_v3/bento.png,167,24.8 g,5.4 g,4.6 g,1.9 g
"Chicken vegetable soup
Chunky, canned, ready-to-serve",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,79,11.2 g,1.8 g,4.7 g,2.2 g
"Turkey vegetable soup
Canned, condensed",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,179,21.0 g,7.4 g,7.5 g,1.5 g
"Healthy Request, Vegetable Soup, condensed",https://images.eatthismuch.com/missing_thumbnail1.png,100,20.0 g,1.0 g,4.0 g,3.0 g
"Snacks, brown rice chips",https://images.eatthismuch.com/missing_thumbnail1.png,35,7.3 g,0.3 g,0.7 g,0.4 g
"Grape leaves
Raw",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,13,2.4 g,0.3 g,0.8 g,1.5 g
"Cabbage
Red, cooked, boiled, drained, with salt",https://images.eatthismuch.com/thmb/2372_minombreaki_a4c984b2-59fa-4cf1-bdc5-000536668b6c.jpg,22,5.2 g,0.1 g,1.1 g,2.0 g
"Cardoon
Cooked, boiled, drained, without salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,22,5.3 g,0.1 g,0.8 g,1.7 g
"Cress
Garden, cooked, boiled, drained, without salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,31,5.1 g,0.8 g,2.6 g,0.9 g
Powdered cream substitute,https://images.eatthismuch.com/images/food_icons_v3/milk_bottle.png,32,3.2 g,2.1 g,0.3 g,0 g
"Diet mayonnaise
Low sodium, low calorie or diet",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,32,2.2 g,2.7 g,0.0 g,0 g
"Puddings, chocolate flavor, low calorie, instant, dry mix",https://images.eatthismuch.com/missing_thumbnail1.png,32,7.0 g,0.2 g,0.5 g,0.5 g
"Chicken liver pate
Canned",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,26,0.9 g,1.7 g,1.7 g,0 g
"Turnip greens
Canned, no salt added",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,27,4.0 g,0.4 g,2.0 g,1.9 g
"Turkey, light meat
Fryer-roasters, meat only, raw",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,31,0 g,0.1 g,6.9 g,0 g
"Syrups, chocolate, Hershey's Sugar free, Genuine Chocolate Flavored, Lite Syrup",https://images.eatthismuch.com/thmb/472571_FrankieGregoire_ca913a79-3b53-40ac-9b0d-c57313ba9184.jpg,15,5.0 g,0.7 g,1.0 g,1.0 g
"Squash
Summer, scallop, cooked, boiled, drained, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,19,4.0 g,0.2 g,1.2 g,2.3 g
"Cauliflower
Green, cooked, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,20,3.9 g,0.2 g,1.9 g,2.0 g
"Cowpeas
Leafy tips, raw",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,10,1.7 g,0.1 g,1.5 g,0 g
"Pace, Lime & Garlic Chunky Salsa",https://images.eatthismuch.com/missing_thumbnail1.png,12,3.0 g,0 g,0 g,1.0 g
"Green peppers
Sweet, green, frozen, chopped, boiled, drained, without salt",https://images.eatthismuch.com/images/food_icons_v3/red_pepper.png,18,3.9 g,0.2 g,1.0 g,0.9 g
"Cardoon
Cooked, boiled, drained, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,20,4.7 g,0.1 g,0.8 g,1.7 g
"Crackers, matzo, egg and onion",https://images.eatthismuch.com/missing_thumbnail1.png,8,1.5 g,0.1 g,0.2 g,0.1 g
"Beverages, tea, hibiscus, brewed",https://images.eatthismuch.com/thmb/457951_drfuentesnd_16761f32-d85c-40f1-ae69-087944798561.png,0,0 g,0 g,0 g,0 g
"Beverages, Ocean Spray, Diet Cran Cherry",https://images.eatthismuch.com/thmb/435291_ipariseau_5f5863c3-c188-4d3e-93d5-09f9536ea0e1.jpg,9,1.7 g,0 g,0.5 g,1.4 g
"Leeks
(bulb and lower-leaf portion), freeze-dried",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,10,2.4 g,0.1 g,0.5 g,0.3 g
"Mr. goodbar chocolate bar
Candies",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,264,26.6 g,16.3 g,5.0 g,1.9 g
"Beef, rib
Shortribs, separable lean and fat, choice, raw",https://images.eatthismuch.com/images/food_icons_v3/steak.png,110,0 g,10.3 g,4.1 g,0 g
"Beef kidneys
Variety meats and by-products, cooked, simmered",https://images.eatthismuch.com/images/food_icons_v3/steak.png,134,0 g,4.0 g,23.2 g,0 g
"Cereals ready-to-eat, General Mills, Oatmeal Crisp, Crunchy Almond",https://images.eatthismuch.com/missing_thumbnail1.png,234,46.9 g,4.0 g,5.9 g,4.9 g
"Beef liver
Variety meats and by-products, cooked, braised",https://images.eatthismuch.com/images/food_icons_v3/steak.png,130,3.5 g,3.6 g,19.8 g,0 g
"Instant oatmeal, maple and brown sugar
Cereals, quaker, prepared with boiling water",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,157,31.1 g,2.0 g,3.7 g,2.8 g
"Bran flakes
Cereals ready-to-eat, generic",https://images.eatthismuch.com/thmb/1017_catherinepye_66885077-3ff3-4e56-994f-4fe9b11506af.jpg,131,32.2 g,0.8 g,4.0 g,7.3 g
"Beef, ground, 93% lean meat / 7% fat, raw",https://images.eatthismuch.com/missing_thumbnail1.png,172,0 g,7.9 g,23.6 g,0 g
"Kellogg's special k
Cereals ready-to-eat, kellogg",https://images.eatthismuch.com/thmb/1042_P3ggy_896ea2e8-409f-4e31-bf84-d887273f105d.png,117,22.6 g,0.5 g,5.8 g,0.3 g
"Tortillas
Ready-to-bake or -fry, flour, without added calcium",https://images.eatthismuch.com/thmb/4331_erin_m_9fc72d30-fd7b-436b-ba4e-6290fa759988.png,234,40.0 g,5.1 g,6.3 g,2.4 g
"Yam
Cooked, boiled, drained, or baked, with salt",https://images.eatthismuch.com/thmb/2511_poyan_823371c4-d15b-4828-b6eb-6a62da6d9cce.jpg,155,36.7 g,0.2 g,2.0 g,5.3 g
"Van's, Gluten Free, Totally Original Waffles",https://images.eatthismuch.com/thmb/473599_Venomfit681_be6ff054-c77b-42b0-8ad8-8420e021857e.jpg,117,19.1 g,3.9 g,1.4 g,0 g
"Celeriac
Raw",https://images.eatthismuch.com/thmb/1925_scrapgold_0a140e13-ec9b-414d-9eb5-8773c1c348ae.png,66,14.4 g,0.5 g,2.3 g,2.8 g
"Ham and cheese sandwich
Fast foods",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,352,33.3 g,15.5 g,20.7 g,0 g
Beef and pork frankfurter,https://images.eatthismuch.com/thmb/899_simmyras_f07a607e-3885-4cc1-b51a-08e657148797.png,86,0.5 g,7.8 g,3.3 g,0 g
"Beef chuck
Clod roast, separable lean only, trimmed to 1/4"" fat, all grades, raw",https://images.eatthismuch.com/thmb/5386_simmyras_cc66773b-6a26-429a-8eb4-66a3022f9230.png,37,0 g,1.4 g,5.6 g,0 g
"Crispy rice
Cereals ready-to-eat, malt-o-meal",https://images.eatthismuch.com/thmb/1170_simmyras_25c53324-53cc-4968-8e55-757989f0abce.png,126,28.5 g,0.4 g,2.1 g,0.3 g
"Turkey, meat and skin and giblets and neck
Fryer-roasters, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,429,0.1 g,14.2 g,70.5 g,0 g
"Cheddar or colby cheese
Low-sodium",https://images.eatthismuch.com/thmb/143_ldementhon_bb8ddc6f-3b9f-4c30-8f83-fd9fae028a93.png,450,2.2 g,36.9 g,27.5 g,0 g
"Peppers sauce
Hot, chili, mature red, canned",https://images.eatthismuch.com/thmb/856_simmyras_d95b5467-65bb-4b71-b237-c08b39b68f07.png,51,9.6 g,1.5 g,2.2 g,1.7 g
"English muffins
Plain, unenriched, without calcium propionate (includes sourdough)",https://images.eatthismuch.com/images/food_icons_v3/bread.png,134,26.2 g,1.0 g,4.4 g,1.5 g
"Flatfish
Fish, (flounder and sole species), raw",https://images.eatthismuch.com/thmb/3281_hopscotch_queen_0c309c1b-cba5-40f0-a634-6558295e9064.png,20,0 g,0.5 g,3.5 g,0 g
"Pork shoulder, whole
Fresh, separable lean and fat, raw",https://images.eatthismuch.com/thmb/1676_HillOK444_4b54c8fa-f0c8-45e0-9e71-70424cf382cb.png,67,0 g,5.1 g,4.9 g,0 g
"Sausage patty
Mcdonald's",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,174,0.6 g,17.0 g,6.5 g,0 g
"Tortillas
Ready-to-bake or -fry, corn, without added salt",https://images.eatthismuch.com/thmb/4330_erin_m_a9719ae5-a133-49a9-a348-c566232b4d1b.png,58,12.1 g,0.7 g,1.5 g,1.4 g
"Currants, red and white
Raw",https://images.eatthismuch.com/thmb/1373_fanfan777_d55f62ee-7f70-4f33-b55c-122c929d775c.jpeg,63,15.5 g,0.2 g,1.6 g,4.8 g
"Lamb, variety meats and by-products, tongue, cooked, braised",https://images.eatthismuch.com/missing_thumbnail1.png,234,0 g,17.2 g,18.3 g,0 g
"Plantains
Yellow, fried, latino restaurant",https://images.eatthismuch.com/thmb/1609_calvin_krause_09757ff9-be6e-4ffc-8d07-d817924945c2.png,399,68.9 g,12.7 g,2.4 g,5.4 g
Kellogg's eggo lowfat nutri-grain waffles,https://images.eatthismuch.com/images/food_icons_v3/bread.png,70,13.6 g,1.2 g,2.3 g,1.4 g
"Oranges
Raw, california, valencias",https://images.eatthismuch.com/thmb/1464_scotjohns_e0668bde-f534-4860-9eb5-b873787de592.png,59,14.4 g,0.4 g,1.3 g,3.0 g
"Special k chocolatey delight
Cereals ready-to-eat, kellogg",https://images.eatthismuch.com/thmb/1295_alice0w0_9092b951-e0ac-42c7-a6c9-ef327276000c.png,156,33.3 g,3.0 g,2.7 g,4.3 g
"Kellogg's special k red berries
Cereals ready-to-eat, kellogg",https://images.eatthismuch.com/thmb/1192_Adhelmers_11722b47-dcf1-465a-9a52-7e969b3dcc82.jpg,111,26.7 g,0.4 g,1.9 g,2.6 g
"Cocoa puffs
Cereals ready-to-eat, general mills",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,138,30.1 g,1.9 g,2.0 g,2.1 g
"Banana bread
Prepared from recipe, made with margarine",https://images.eatthismuch.com/thmb/3983_kathrynarend_535589bd-dbdd-4792-8c9e-8a0b8e04e4e2.png,196,32.8 g,6.3 g,2.6 g,0.7 g
"Crunchmaster, Multi-Grain Crisps, Snack Crackers, Gluten-Free",https://images.eatthismuch.com/missing_thumbnail1.png,41,6.0 g,1.4 g,1.0 g,0.7 g
"Bison
Game meat, separable lean only, cooked, roasted",https://images.eatthismuch.com/images/food_icons_v3/steak.png,41,0 g,0.7 g,8.1 g,0 g
"Ice cream cones
Cake or wafer-type",https://images.eatthismuch.com/thmb/4190_s6504_a4dcbc44-383f-493c-b8d1-28539416695f.jpg,121,22.9 g,2.0 g,2.3 g,0.9 g
"Mexican cheese
Queso anejo",https://images.eatthismuch.com/thmb/139_simmyras_a0622daf-1580-4d13-abb9-25c6423755ba.png,106,1.3 g,8.5 g,6.1 g,0 g
"Popcorn
Snacks, microwave, 94% fat free",https://images.eatthismuch.com/images/food_icons_v3/cookie.png,114,21.6 g,1.7 g,3.0 g,3.9 g
"Smoked link sausage, pork",https://images.eatthismuch.com/missing_thumbnail1.png,210,0.6 g,19.2 g,8.1 g,0 g
"Croissant with egg cheese and sausage
Fast foods",https://images.eatthismuch.com/thmb/4946_lavitzman1_2348dcfd-486b-4bc7-a255-2b47e685a9d9.png,493,25.4 g,34.8 g,19.3 g,2.9 g
"Turkey bacon, unprepared",https://images.eatthismuch.com/missing_thumbnail1.png,32,0.3 g,2.4 g,2.2 g,0 g
"Sauce, salsa, verde, ready-to-serve",https://images.eatthismuch.com/missing_thumbnail1.png,11,1.9 g,0.3 g,0.3 g,0.6 g
"Fast food salad
Vegetable, tossed, without dressing",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,33,6.7 g,0.1 g,2.6 g,0 g
"Onions
Frozen, chopped, cooked, boiled, drained, with salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,55,12.6 g,0.2 g,1.6 g,3.6 g
"Quaker multigrain oatmeal
Cereals, quaker, prepared with water, no salt",https://images.eatthismuch.com/images/food_icons_v3/porridge.png,17,3.8 g,0.1 g,0.6 g,0.6 g
"Chicken breast
Broilers or fryers, meat and skin, cooked, fried, flour",https://images.eatthismuch.com/thmb/448_alicehorton_53e280ad-951e-47fe-8f42-c170d551e5c5.png,63,0.5 g,2.5 g,9.0 g,0.0 g
"Catfish
Fish, channel, wild, raw",https://images.eatthismuch.com/thmb/3263_ldementhon_ee21ac00-4a78-414e-94d8-d130598b96a6.png,27,0 g,0.8 g,4.6 g,0 g
"Rye flour
Medium",https://images.eatthismuch.com/images/food_icons_v3/flour.png,356,76.9 g,1.6 g,11.1 g,12.0 g
"Beverages, chocolate drink, milk and soy based, ready to drink, fortified",https://images.eatthismuch.com/missing_thumbnail1.png,239,41.0 g,4.0 g,10.0 g,3.1 g
"Turkey, retail parts, breast, meat only, cooked, roasted",https://images.eatthismuch.com/missing_thumbnail1.png,1174,0 g,17.0 g,254.7 g,0 g
"Campbell's, Cream of Chicken Soup, condensed",https://images.eatthismuch.com/missing_thumbnail1.png,128,7.5 g,9.9 g,2.2 g,5.1 g
"Kohlrabi
Cooked, boiled, drained, without salt",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,48,11.0 g,0.2 g,3.0 g,1.8 g
"Cinnamon sweet rolls
Refrigerated dough with frosting, baked",https://images.eatthismuch.com/thmb/4263_N3da_43471b0e-4aaa-4e04-9ef2-94b03a7da822.png,109,16.8 g,4.0 g,1.6 g,0 g
"Broccoli
Frozen, spears, unprepared",https://images.eatthismuch.com/images/food_icons_v3/broccoli.png,8,1.5 g,0.1 g,0.9 g,0.9 g
"Lemonade
Low calorie, with aspartame, powder, prepared with water",https://images.eatthismuch.com/images/food_icons_v3/drink.png,7,1.6 g,0 g,0.1 g,0 g
"Cabbage
Chinese (pak-choi), cooked, boiled, drained, without salt",https://images.eatthismuch.com/thmb/1909_my_trade_8b1b54a2-e121-4024-a18a-02b66f95cfbf.jpeg,20,3.0 g,0.3 g,2.7 g,1.7 g
"Beverages, carbonated, low calorie, cola or pepper-types, with sodium saccharin, contains caffeine",https://images.eatthismuch.com/missing_thumbnail1.png,0,0.0 g,0 g,0 g,0 g
"English muffins
Plain, toasted, enriched, with calcium propionate (includes sourdough)",https://images.eatthismuch.com/images/food_icons_v3/bread.png,140,27.4 g,1.1 g,5.4 g,1.5 g
"Lamb shoulder
Domestic, whole (arm and blade), separable lean and fat, trimmed to 1/4"" fat, choice, raw",https://images.eatthismuch.com/thmb/3784_simmyras_72971959-a43b-40be-a91b-63fa32e9ddce.png,75,0 g,6.1 g,4.7 g,0 g
"Margarine
Regular, 80% fat, composite, stick, unsalted",https://images.eatthismuch.com/images/food_icons_v3/bottle.png,102,0.1 g,11.5 g,0.0 g,0 g
Smoked chicken and beef sausage,https://images.eatthismuch.com/images/food_icons_v3/sausage.png,84,0 g,6.8 g,5.2 g,0 g
"Beets
Pickled, canned, solids and liquids",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,148,37.0 g,0.2 g,1.8 g,5.9 g
"Canned potatoes
Drained solids",https://images.eatthismuch.com/images/food_icons_v3/carrot.png,108,24.5 g,0.4 g,2.5 g,4.1 g
"Vegetable with beef broth soup
Canned, prepared with equal volume water",https://images.eatthismuch.com/images/food_icons_v3/noodles.png,80,12.9 g,1.9 g,2.9 g,1.7 g
"Luncheon meat, pork and chicken, minced, canned, includes Spam Lite",https://images.eatthismuch.com/missing_thumbnail1.png,110,0.8 g,7.8 g,8.5 g,0 g
"Pumpernickel bread
Toasted",https://images.eatthismuch.com/images/food_icons_v3/bread.png,80,15.1 g,1.0 g,2.8 g,2.1 g
"Whopper
Burger king, no cheese",https://images.eatthismuch.com/thmb/5075_Medhat754_4cf2a9f2-2f2a-46f6-85e4-0250777a0988.jpg,678,54.0 g,37.4 g,31.3 g,5.2 g
"Whopper
Burger king, with cheese",https://images.eatthismuch.com/thmb/5076_Medhat754_676c28d3-ca00-4cca-b7d6-87831320aabb.jpg,790,52.8 g,48.4 g,35.4 g,3.2 g
"Beef tenderloin
Steak, separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled",https://images.eatthismuch.com/images/food_icons_v3/steak.png,60,0 g,2.5 g,8.6 g,0 g
"Biscuit with egg and bacon
Fast foods",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,458,28.6 g,31.1 g,17.0 g,0.8 g
"Fried chicken wing
Fast foods, meat and skin and breading",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,195,7.0 g,12.7 g,13.3 g,0.1 g
"Ground pork
72% lean / 28% fat, cooked, pan-broiled",https://images.eatthismuch.com/images/food_icons_v3/sausage.png,377,1.1 g,31.4 g,22.6 g,0 g
"Applesauce
Canned, unsweetened, with added ascorbic acid",https://images.eatthismuch.com/thmb/1581_ldementhon_e4710dc9-79df-4060-b640-811aed1ae202.png,102,27.5 g,0.2 g,0.4 g,2.7 g
"Crispy Chicken Strips
KFC",https://images.eatthismuch.com/missing_thumbnail1.png,129,6.4 g,7.2 g,9.5 g,0.7 g
"Crispbread crackers
Rye",https://images.eatthismuch.com/thmb/4135_rediska_77523f09-ea37-4d44-81d6-deb85705f98b.png,92,20.6 g,0.3 g,2.0 g,4.1 g
"Sugar cookies
Commercially prepared, regular (includes vanilla)",https://images.eatthismuch.com/images/food_icons_v3/bread.png,132,19.1 g,5.5 g,1.5 g,0.4 g
"Soft taco with beef
Taco bell",https://images.eatthismuch.com/images/food_icons_v3/fast_food.png,204,20.0 g,9.7 g,9.2 g,2.9 g
"Chicken thigh
Broilers or fryers, meat only, cooked, fried",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,113,0.6 g,5.4 g,14.7 g,0 g
"Mushrooms
White, stir-fried",https://images.eatthismuch.com/images/food_icons_v3/mushroom.png,28,4.4 g,0.4 g,3.9 g,1.9 g
"Mushrooms
Morel, raw",https://images.eatthismuch.com/images/food_icons_v3/mushroom.png,20,3.4 g,0.4 g,2.1 g,1.8 g
"Mushrooms
Portabella, exposed to ultraviolet light, grilled",https://images.eatthismuch.com/images/food_icons_v3/mushroom.png,35,5.4 g,0.7 g,4.0 g,2.7 g
"Spaghetti
Spinach pasta, cooked",https://images.eatthismuch.com/images/food_icons_v3/spaghetti.png,182,36.6 g,0.9 g,6.4 g,0 g
"Corn flour
Masa, enriched, white",https://images.eatthismuch.com/images/food_icons_v3/flour.png,414,87.3 g,4.2 g,9.6 g,7.3 g
"Beverages, Whey protein powder isolate",https://images.eatthismuch.com/missing_thumbnail1.png,309,25.0 g,1.0 g,50.0 g,0 g
"Sprite
Carbonated beverage, lemon-lime, without caffeine",https://images.eatthismuch.com/thmb/3097_JazzminPride_15ed67d3-abbb-4728-bd04-391952f27ea4.png,197,49.9 g,0.1 g,0.2 g,0 g
"French fries
Potatoes, crinkle or regular cut, salt added in processing, frozen, oven-heated",https://images.eatthismuch.com/thmb/2099_sierramatthias_c1672b4d-2d8f-4b4b-ba1d-d3c0c0095b76.jpg,115,19.0 g,3.5 g,1.7 g,1.6 g
"Okra
Frozen, cooked, boiled, drained, without salt",https://images.eatthismuch.com/thmb/2041_jdwahlster_da891434-dfa0-4551-a862-d0e5c7d35dc0.png,74,16.3 g,0.6 g,4.2 g,5.4 g
"Flan
Desserts, caramel custard, prepared-from-recipe",https://images.eatthismuch.com/images/food_icons_v3/ice_cream.png,222,34.9 g,6.2 g,6.9 g,0 g
"Chicken breast
Broilers or fryers, meat and skin, cooked, fried, batter",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,74,2.5 g,3.7 g,7.0 g,0.1 g
"Chicken thigh
Broilers or fryers, meat and skin, cooked, fried, batter",https://images.eatthismuch.com/images/food_icons_v3/chicken.png,238,7.8 g,14.2 g,18.6 g,0.3 g
"Pork, fresh, shoulder, (Boston butt), blade (steaks), separable lean only, braised
with added solution cooked",https://images.eatthismuch.com/missing_thumbnail1.png,193,0 g,10.3 g,23.4 g,0 g
"Cinnamon toast crunch
Cereals ready-to-eat, general mills",https://images.eatthismuch.com/thmb/1147_Venomfit681_43e95f20-616b-44b3-be15-26ad49730d9d.jpg,169,32.0 g,4.2 g,2.2 g,2.8 g
